elapsed_seconds,error,full_snapshot_sha256,http_status,max_pages_reached,page_count,pagination_complete,pit_date,provider,raw_sha256,repeat_match,repeat_sha256,requested_at,row_count,state
145.601487,,a59c2d4990e84628e9644c04df80e1b8cf43d26cf84577cbc7bffd11f8269b45,200,False,13,True,2026-05-31,massive,a59c2d4990e84628e9644c04df80e1b8cf43d26cf84577cbc7bffd11f8269b45,True,a59c2d4990e84628e9644c04df80e1b8cf43d26cf84577cbc7bffd11f8269b45,2026-08-08T05:38:13.471685+00:00,12675,active
278.576867,,ef84ebd46589da58a443cfaa4be08f820b1c1da318f4f14611c322aca30ff1eb,200,False,24,True,2026-05-31,massive,ef84ebd46589da58a443cfaa4be08f820b1c1da318f4f14611c322aca30ff1eb,,,2026-08-08T05:40:51.230110+00:00,23113,inactive
278.600713,,ef84ebd46589da58a443cfaa4be08f820b1c1da318f4f14611c322aca30ff1eb,200,False,24,True,2026-05-31,massive,ef84ebd46589da58a443cfaa4be08f820b1c1da318f4f14611c322aca30ff1eb,True,ef84ebd46589da58a443cfaa4be08f820b1c1da318f4f14611c322aca30ff1eb,2026-08-08T05:45:42.027402+00:00,23113,inactive
145.667223,,557782ad98e58d724878628b420f14bce29762bbcaaf93a446c894fe61da10f7,200,False,13,True,2026-06-30,massive,557782ad98e58d724878628b420f14bce29762bbcaaf93a446c894fe61da10f7,,,2026-08-08T05:50:32.819368+00:00,12902,active
145.672768,,557782ad98e58d724878628b420f14bce29762bbcaaf93a446c894fe61da10f7,200,False,13,True,2026-06-30,massive,557782ad98e58d724878628b420f14bce29762bbcaaf93a446c894fe61da10f7,True,557782ad98e58d724878628b420f14bce29762bbcaaf93a446c894fe61da10f7,2026-08-08T05:53:10.668812+00:00,12902,active
278.729333,,ed6034bf0d1f84d4551fb945cb1b5c1955c2663643df8c86dd25a8b848429157,200,False,24,True,2026-06-30,massive,ed6034bf0d1f84d4551fb945cb1b5c1955c2663643df8c86dd25a8b848429157,,,2026-08-08T05:55:48.500144+00:00,23205,inactive
278.719114,,ed6034bf0d1f84d4551fb945cb1b5c1955c2663643df8c86dd25a8b848429157,200,False,24,True,2026-06-30,massive,ed6034bf0d1f84d4551fb945cb1b5c1955c2663643df8c86dd25a8b848429157,True,ed6034bf0d1f84d4551fb945cb1b5c1955c2663643df8c86dd25a8b848429157,2026-08-08T06:00:39.452940+00:00,23205,inactive
157.554423,,eaf3fd2c8f04646de2cab228446deb2be2b7a3378ebf0e31e6648b07082ac00d,200,False,14,True,2026-07-31,massive,eaf3fd2c8f04646de2cab228446deb2be2b7a3378ebf0e31e6648b07082ac00d,,,2026-08-08T06:05:30.380002+00:00,13048,active
157.658904,,eaf3fd2c8f04646de2cab228446deb2be2b7a3378ebf0e31e6648b07082ac00d,200,False,14,True,2026-07-31,massive,eaf3fd2c8f04646de2cab228446deb2be2b7a3378ebf0e31e6648b07082ac00d,True,eaf3fd2c8f04646de2cab228446deb2be2b7a3378ebf0e31e6648b07082ac00d,2026-08-08T06:08:20.102261+00:00,13048,active
278.728821,,327886cdbe6a35b171e15273de649fd9f88463833d9149330e26dd6426d4c215,200,False,24,True,2026-07-31,massive,327886cdbe6a35b171e15273de649fd9f88463833d9149330e26dd6426d4c215,,,2026-08-08T06:11:09.923845+00:00,23320,inactive
278.729825,,327886cdbe6a35b171e15273de649fd9f88463833d9149330e26dd6426d4c215,200,False,24,True,2026-07-31,massive,327886cdbe6a35b171e15273de649fd9f88463833d9149330e26dd6426d4c215,True,327886cdbe6a35b171e15273de649fd9f88463833d9149330e26dd6426d4c215,2026-08-08T06:16:00.873397+00:00,23320,inactive
