ticker,is_etf,candidate_trade_count,candidate_total_return,candidate_mean_expectancy,candidate_maximum_drawdown_pct,baseline_a_trade_count,baseline_a_mean_expectancy,baseline_b_trade_count,baseline_b_mean_expectancy,candidate_beat_a,candidate_beat_b
SPY,True,2,-2.123830570411984,-1.061915285205992,-2.1238305704119824,92,-0.509131151282508,56,-0.3930739753567359,False,False
XLF,True,4,-1.331367943942126,-0.3328419859855315,-1.5761574575400914,99,-0.4077563053218366,67,-0.2932807536034793,True,False
GS,False,3,-3.302567202263684,-1.1008557340878946,-3.302567202263674,75,-0.1993464272198503,49,-0.3964991005386817,False,False
XOM,False,2,-2.2703060938878745,-1.1351530469439373,-2.270306093887882,90,-0.553314477948133,46,-0.2071865210908163,False,False
F,False,1,1.4020485440745831,1.4020485440745831,0.0,34,-0.3402854933594169,23,-0.316195892078716,True,True
DIA,True,2,-2.244354063697605,-1.1221770318488025,-2.2443540636975996,87,-0.7716405280514418,58,-0.46688676062978096,False,False
XLP,True,1,-1.120547211825458,-1.120547211825458,-1.1205472118254534,89,-0.40985907079515577,46,-0.30453997768538454,False,False
CSCO,False,1,-1.1092069621171738,-1.1092069621171738,-1.1092069621171703,34,-0.6397402313265654,19,-1.003897913507367,False,False
XLV,True,1,-1.1169187523915587,-1.1169187523915587,-1.1169187523915554,92,-0.6357360686558593,63,-0.29330045760460316,False,False
TXN,False,1,-1.2213765777819485,-1.2213765777819485,-1.2213765777819532,47,-0.3510788252822292,31,0.13056349013878257,False,False
MRK,False,1,-1.1100210492021414,-1.1100210492021414,-1.110021049202146,64,-0.4341084931428224,33,-0.4063298925685813,False,False
PG,False,1,-1.2070859722169978,-1.2070859722169978,-1.2070859722170013,29,-0.4056128179293399,20,-0.706920452365875,False,False
HIMS,False,1,-1.022844665529724,-1.022844665529724,-1.0228446655297176,28,-0.2897887082220033,22,-0.13531938487249026,False,False
CVNA,False,1,-1.0881849192685826,-1.0881849192685826,-1.0881849192685848,17,-0.44011518081062695,6,-0.25809392364564904,False,False
