rule,split,horizon_weeks,count,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_5bps,win_rate_net_5bps,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,ticker,cohort
baseline,validation,13,12,1.4861228965132558,1.1731678505229604,13.142874105918896,0.5833333333333334,1.4861228965132558,0.5833333333333334,2.932596167632108,1.384687491319353,0.5833333333333334,1.2833534201965602,0.5833333333333334,0.9799576950343946,0.5833333333333334,IWM,etf
candidate,development,13,23,2.824906665619415,4.255810616198352,8.005029730207127,0.5217391304347826,2.824906665619415,0.5217391304347826,2.849490323327004,2.7221331457137588,0.5217391304347826,2.619462296657151,0.5217391304347826,2.312064238359481,0.5217391304347826,IWM,etf
candidate,holdout,13,15,-0.5721510654269489,0.4579361908998214,8.73117910096813,0.6,-0.5721510654269489,0.6,2.628504147179636,-0.6715292252815831,0.6,-0.7708081062552528,0.5333333333333333,-1.0680505613599722,0.4666666666666667,IWM,etf
candidate,validation,13,13,2.256371174993226,0.963736593283393,9.619295522770502,0.5384615384615384,2.256371174993226,0.5384615384615384,3.314521040009181,2.1541659064525174,0.5384615384615384,2.052062741077172,0.5384615384615384,1.7463643362152181,0.5384615384615384,IWM,etf
baseline,development,13,22,2.801824018793674,1.638467582999259,6.4569622952510475,0.6363636363636364,2.801824018793674,0.6363636363636364,3.766550741622159,2.6990735699992836,0.6363636363636364,2.5964257690058847,0.6363636363636364,2.289096716954312,0.5909090909090909,JNJ,stock
baseline,holdout,13,15,1.8010883463589649,0.2942714914967004,7.299869868214109,0.5333333333333333,1.8010883463589649,0.5333333333333333,3.3395753315481684,1.69933813311924,0.5333333333333333,1.5976895684441716,0.5333333333333333,1.293352244880872,0.4666666666666667,JNJ,stock
baseline,validation,13,11,1.9751849334977245,0.5781809259793436,5.316689400988337,0.5454545454545454,1.9751849334977245,0.5454545454545454,3.62867753781328,1.8732607106756491,0.5454545454545454,1.7714383102539804,0.5454545454545454,1.4665805198643271,0.5454545454545454,JNJ,stock
candidate,development,13,23,3.1142261553688306,1.4347526978484515,6.4677765672032645,0.6521739130434783,3.1142261553688306,0.6521739130434783,3.198438471438899,3.0111634605608755,0.6521739130434783,2.908203725487983,0.6521739130434783,2.5999407381350785,0.6521739130434783,JNJ,stock
candidate,holdout,13,15,1.1167896886753776,-0.29101381635364687,7.567628702479901,0.4666666666666667,1.1167896886753776,0.4666666666666667,3.7027037536569076,1.0157234321149977,0.4666666666666667,0.9147581408458677,0.4666666666666667,0.6124665480834882,0.4666666666666667,JNJ,stock
candidate,validation,13,13,1.1448513344986797,0.5781809259793436,5.929965801449154,0.5384615384615384,1.1448513344986797,0.5384615384615384,3.1752732671612076,1.0437570303162838,0.5384615384615384,0.9427637194447469,0.5384615384615384,0.6403882355735108,0.5384615384615384,JNJ,stock
baseline,development,13,20,4.368730922777678,5.29309624199974,10.491751589668963,0.7,4.368730922777678,0.7,3.0068814828007833,4.26441435014123,0.7,4.160201989865046,0.7,3.8481886239109686,0.65,JPM,stock
baseline,holdout,13,15,7.223449352261604,6.2778228122684965,10.812859549824562,0.6666666666666666,7.223449352261604,0.6666666666666666,5.2004402724974925,7.116279487841566,0.6666666666666666,7.009216686223131,0.6666666666666666,6.68866905624036,0.6666666666666666,JPM,stock
baseline,validation,13,11,0.9152296865743133,3.0867343320063245,10.65136162927864,0.6363636363636364,0.9152296865743133,0.6363636363636364,2.0800277180071736,0.814364889286396,0.6363636363636364,0.7136008560317205,0.6363636363636364,0.41191183277595267,0.5454545454545454,JPM,stock
candidate,development,13,23,3.474454641546403,3.56355569243465,9.955152730319458,0.6521739130434783,3.474454641546403,0.6521739130434783,3.341273910724292,3.3710318982765015,0.6086956521739131,3.267712474430441,0.6086956521739131,2.9583725735087767,0.6086956521739131,JPM,stock
candidate,holdout,13,15,6.128313341856327,6.2778228122684965,12.035878386195217,0.6666666666666666,6.128313341856327,0.6666666666666666,5.07713153446323,6.022238066152335,0.6666666666666666,5.916268759754723,0.6666666666666666,5.598995070824634,0.6666666666666666,JPM,stock
